status_sk,status_code,sub_status,win32_status,status_category,status_label,description,severity
250,0,5103,732,Unknown,Other,Other - 0 status code,Unknown
251,0,5104,691,Unknown,Other,Other - 0 status code,Unknown
252,0,5108,700,Unknown,Other,Other - 0 status code,Unknown
253,0,5114,733,Unknown,Other,Other - 0 status code,Unknown
254,0,5127,700,Unknown,Other,Other - 0 status code,Unknown
255,0,5133,866,Unknown,Other,Other - 0 status code,Unknown
256,0,5134,691,Unknown,Other,Other - 0 status code,Unknown
257,0,5135,866,Unknown,Other,Other - 0 status code,Unknown
258,0,5138,700,Unknown,Other,Other - 0 status code,Unknown
259,0,5142,484,Unknown,Other,Other - 0 status code,Unknown
260,0,5152,484,Unknown,Other,Other - 0 status code,Unknown
261,0,5152,700,Unknown,Other,Other - 0 status code,Unknown
262,0,5157,700,Unknown,Other,Other - 0 status code,Unknown
263,0,5161,691,Unknown,Other,Other - 0 status code,Unknown
264,0,5176,700,Unknown,Other,Other - 0 status code,Unknown
265,0,5190,733,Unknown,Other,Other - 0 status code,Unknown
266,0,5195,483,Unknown,Other,Other - 0 status code,Unknown
267,0,5205,732,Unknown,Other,Other - 0 status code,Unknown
268,0,5211,691,Unknown,Other,Other - 0 status code,Unknown
269,0,5211,866,Unknown,Other,Other - 0 status code,Unknown
270,0,5212,700,Unknown,Other,Other - 0 status code,Unknown
271,0,5216,484,Unknown,Other,Other - 0 status code,Unknown
272,0,5216,733,Unknown,Other,Other - 0 status code,Unknown
273,0,5220,733,Unknown,Other,Other - 0 status code,Unknown
274,0,5232,691,Unknown,Other,Other - 0 status code,Unknown
275,0,5235,732,Unknown,Other,Other - 0 status code,Unknown
276,0,5237,700,Unknown,Other,Other - 0 status code,Unknown
277,0,5239,866,Unknown,Other,Other - 0 status code,Unknown
278,0,5251,700,Unknown,Other,Other - 0 status code,Unknown
279,0,5251,867,Unknown,Other,Other - 0 status code,Unknown
280,0,5262,700,Unknown,Other,Other - 0 status code,Unknown
281,0,5263,700,Unknown,Other,Other - 0 status code,Unknown
282,0,5274,691,Unknown,Other,Other - 0 status code,Unknown
283,0,5278,691,Unknown,Other,Other - 0 status code,Unknown
284,0,5280,691,Unknown,Other,Other - 0 status code,Unknown
285,0,5284,484,Unknown,Other,Other - 0 status code,Unknown
286,0,5293,867,Unknown,Other,Other - 0 status code,Unknown
287,0,5302,700,Unknown,Other,Other - 0 status code,Unknown
288,0,5316,483,Unknown,Other,Other - 0 status code,Unknown
289,0,5318,700,Unknown,Other,Other - 0 status code,Unknown
290,0,5321,483,Unknown,Other,Other - 0 status code,Unknown
291,0,5336,732,Unknown,Other,Other - 0 status code,Unknown
