time_sk,hour,minute,am_pm,time_band,shift_id
557,5,57,AM,Early Morning,1
558,5,58,AM,Early Morning,1
559,5,59,AM,Early Morning,1
600,6,0,AM,Morning,2
601,6,1,AM,Morning,2
602,6,2,AM,Morning,2
603,6,3,AM,Morning,2
604,6,4,AM,Morning,2
605,6,5,AM,Morning,2
606,6,6,AM,Morning,2
607,6,7,AM,Morning,2
608,6,8,AM,Morning,2
609,6,9,AM,Morning,2
610,6,10,AM,Morning,2
611,6,11,AM,Morning,2
612,6,12,AM,Morning,2
613,6,13,AM,Morning,2
614,6,14,AM,Morning,2
615,6,15,AM,Morning,2
616,6,16,AM,Morning,2
617,6,17,AM,Morning,2
618,6,18,AM,Morning,2
619,6,19,AM,Morning,2
620,6,20,AM,Morning,2
621,6,21,AM,Morning,2
622,6,22,AM,Morning,2
623,6,23,AM,Morning,2
624,6,24,AM,Morning,2
625,6,25,AM,Morning,2
626,6,26,AM,Morning,2
627,6,27,AM,Morning,2
628,6,28,AM,Morning,2
629,6,29,AM,Morning,2
630,6,30,AM,Morning,2
631,6,31,AM,Morning,2
632,6,32,AM,Morning,2
633,6,33,AM,Morning,2
634,6,34,AM,Morning,2
635,6,35,AM,Morning,2
636,6,36,AM,Morning,2
637,6,37,AM,Morning,2
638,6,38,AM,Morning,2
639,6,39,AM,Morning,2
640,6,40,AM,Morning,2
641,6,41,AM,Morning,2
642,6,42,AM,Morning,2
643,6,43,AM,Morning,2
644,6,44,AM,Morning,2
645,6,45,AM,Morning,2
646,6,46,AM,Morning,2
647,6,47,AM,Morning,2
648,6,48,AM,Morning,2
649,6,49,AM,Morning,2
650,6,50,AM,Morning,2
651,6,51,AM,Morning,2
652,6,52,AM,Morning,2
653,6,53,AM,Morning,2
654,6,54,AM,Morning,2
655,6,55,AM,Morning,2
656,6,56,AM,Morning,2
657,6,57,AM,Morning,2
658,6,58,AM,Morning,2
659,6,59,AM,Morning,2
700,7,0,AM,Morning,2
701,7,1,AM,Morning,2
702,7,2,AM,Morning,2
703,7,3,AM,Morning,2
704,7,4,AM,Morning,2
705,7,5,AM,Morning,2
706,7,6,AM,Morning,2
707,7,7,AM,Morning,2
708,7,8,AM,Morning,2
709,7,9,AM,Morning,2
710,7,10,AM,Morning,2
711,7,11,AM,Morning,2
712,7,12,AM,Morning,2
713,7,13,AM,Morning,2
714,7,14,AM,Morning,2
715,7,15,AM,Morning,2
716,7,16,AM,Morning,2
